ccddd,district,county_code,district_code,county
1109,Washtucna School District,1,109,Adams
1122,Benge School District,1,122,Adams
1147,Othello School District,1,147,Adams
1158,Lind School District,1,158,Adams
1160,Ritzville School District,1,160,Adams
2250,Clarkston School District,2,250,Asotin
2420,Asotin-Anatone School District,2,420,Asotin
3017,Kennewick School District,3,17,Benton
3050,Paterson School District,3,50,Benton
3052,Kiona-Benton City School District,3,52,Benton
3053,Finley School District,3,53,Benton
3116,Prosser School District,3,116,Benton
3400,Richland School District,3,400,Benton
4019,Manson School District,4,19,Chelan
4069,Stehekin School District,4,69,Chelan
4127,Entiat School District,4,127,Chelan
4129,Lake Chelan School District,4,129,Chelan
4222,Cashmere School District,4,222,Chelan
4228,Cascade School District,4,228,Chelan
4246,Wenatchee School District,4,246,Chelan
4901,Pinnacles Prep,4,901,Chelan
5121,Port Angeles School District,5,121,Clallam
5313,Crescent School District,5,313,Clallam
5323,Sequim School District,5,323,Clallam
5401,Cape Flattery School District,5,401,Clallam
5402,Quillayute Valley School District,5,402,Clallam
6037,Vancouver School District,6,37,Clark
6098,Hockinson School District,6,98,Clark
6101,La Center School District,6,101,Clark
6103,Green Mountain School District,6,103,Clark
6112,Washougal School District,6,112,Clark
6114,Evergreen School District (Clark),6,114,Clark
6117,Camas School District,6,117,Clark
6119,Battle Ground School District,6,119,Clark
6122,Ridgefield School District,6,122,Clark
6901,Rooted School Vancouver,6,901,Clark
7002,Dayton School District,7,2,Columbia
7035,Starbuck School District,7,35,Columbia
8122,Longview School District,8,122,Cowlitz
8130,Toutle Lake School District,8,130,Cowlitz
8401,Castle Rock School District,8,401,Cowlitz
8402,Kalama School District,8,402,Cowlitz
8404,Woodland School District,8,404,Cowlitz
8458,Kelso School District,8,458,Cowlitz
9013,Orondo School District,9,13,Douglas
9075,Bridgeport School District,9,75,Douglas
9102,Palisades School District,9,102,Douglas
9206,Eastmont School District,9,206,Douglas
9207,Mansfield School District,9,207,Douglas
9209,Waterville School District,9,209,Douglas
10003,Keller School District,10,3,Ferry
10050,Curlew School District,10,50,Ferry
10065,Orient School District,10,65,Ferry
10070,Inchelium School District,10,70,Ferry
10309,Republic School District,10,309,Ferry
11001,Pasco School District,11,1,Franklin
11051,North Franklin School District,11,51,Franklin
11054,Star School District No. 054,11,54,Franklin
11056,Kahlotus School District,11,56,Franklin
12110,Pomeroy School District,12,110,Garfiled
13073,Wahluke School District,13,73,Grant
13144,Quincy School District,13,144,Grant
13146,Warden School District,13,146,Grant
13151,Coulee-Hartline School District,13,151,Grant
13156,Soap Lake School District,13,156,Grant
13160,Royal School District,13,160,Grant
13161,Moses Lake School District,13,161,Grant
13165,Ephrata School District,13,165,Grant
13167,Wilson Creek School District,13,167,Grant
13301,Grand Coulee Dam School District,13,301,Grant
14005,Aberdeen School District,14,5,Garys Harbor
14028,Hoquiam School District,14,28,Garys Harbor
14064,North Beach School District,14,64,Garys Harbor
14065,McCleary School District,14,65,Garys Harbor
14066,Montesano School District,14,66,Garys Harbor
14068,Elma School District,14,68,Garys Harbor
