duty_root,duty_name,original_duty_code_pattern,duty_name_category,duty_name_description,school_year,_source,_source_table
11,Superintendent,11x,administrator,Functions as the chief executive officer of a district.,9998-9999,9998-9999-spsbtn.xlsx,duty_root
12,Deputy/Assistant Superintendent,12x,administrator,Performs system wide executive management functions in the superintendent’s office of a district.,9998-9999,9998-9999-spsbtn.xlsx,duty_root
13,Other District Administrator,13x,administrator,"Directs staff members or manages a function, a program, or a supporting service in a district. Includes administrative assistants, directors, supervisors, and coordinators of districtwide programs.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
21,Elementary Principal,21x,principal,"Performs the assigned activities of the administrative head of an elementary school, normally any span of grades not above grade 8. Includes elementary and middle school principals.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
22,Elementary Vice Principal,22x,principal,"Performs assigned activities in support of the head administrator of an elementary school, normally any grade span not above grade 8.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
23,Secondary Principal,23x,principal,"Performs assigned activities of the administrative head of a secondary school, normally any grade span combination of grades 7–12. Includes junior high and senior high principals.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
24,Secondary Vice Principal,24x,principal,"Performs assigned activities in support of the administrative head of a secondary school, normally any grade span combination of grades 7–12.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
25,Other School Administrator,25x,administrator,"Directs staff members or manages a function, a program, or a support service in a school. Includes administrative assistants, administrative interns, and supervisors of school programs.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
31,Elementary Homeroom Teacher,31x,teacher,"Instructs students in self-contained classroom situations for which daily student attendance is kept, normally in any span of grades not above grade 6. Includes the primary instructor for the students, who is responsible for the self-contained classroom situation for the majority of the instructional day. Also includes additional teachers providing instruction at the same time as the homeroom teacher. This may include teachers in the subjects of music, band, physical education, and other specialists, if and only if, the homeroom teacher is actively present in the classroom situation at the same time as the specialist teacher.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
32,Secondary Teacher,32x,teacher,"Instructs students in classes or courses in a classroom situation for which daily student attendance is kept, normally in any grade span combination of grades 7–12. Includes preparation period and music, band, and physical education teachers, etc., if they teach full time at a secondary school.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
33,Other Teacher,33x,teacher,"Instructs students in ungraded classes, special education, gifted, disadvantaged, early childhood, home or hospital, and adult education.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
34,Elementary Specialist Teacher,34x,teacher,"Instructs students in self-contained classes or courses in a classroom situation for which daily student attendance is kept, normally in any span of grades not above grade 6. Includes teachers who are not the primary instructor for the students, who provide instruction to several different groups of students or classes throughout the day. Examples would include music, band, and physical education, or other specialists.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
39,Orientation and Mobility Specialist,39x,health,"Serves students who are blind or have low vision, and supports students in learning to determine their position within their environment, and to navigate safely from one place to another.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
40,Other Support Personnel,40x,support,"Provides administrative, technical, and logistical support to the instruction program. Includes chairpersons or academic department heads and mentors. Also includes support personnel not specified above, such as attendance officers, educational specialists, dentists, physicians, other student personnel, etc.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
41,Library Media Specialist,41x,support,"Organizes and manages the use of teaching and learning resource materials, including equipment, content material and services for school libraries. Includes librarians and audio-visual or media specialists.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
42,Counselor,42x,mental health,"Assists students to assess and understand their abilities, aptitudes, interests, environmental factors, personal and social adjustments, educational needs, and occupational opportunities.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
43,Occupational Therapist,43x,health,"Assists students whose abilities to cope are impaired by developmental deficits, poverty and cultural differences, physical injury or illness, or psychological and social disability.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
44,Social Worker,44x,mental health,"Assists in the prevention of or solution to the personal, social, and emotional problems of students which involve family, school, and community relationships when such problems affect the school work of the student.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
45,Speech-Language Pathologist or Audiologist,45x,health,"Provides diagnostic, therapeutic, and consultative services for individuals disabled by disorders of language, speech, or hearing.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
46,Psychologist,46x,health,"Evaluates and analyzes students through such activities as measuring and interpreting students’ intellectual, emotional, and social development to enhance their educational progress.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
47,Nurse,47x,health,"ESA-certificated school nurse licensed to perform activities requiring substantial specialized judgment and skill in observation, care and counsel of ill and injured students, and in illness prevention.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
48,Physical Therapist,48x,health,"Seeks to relieve disability and pain, develop or restore motor function, and maintain maximum performance within the student’s capabilities.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
49,Behavior Analyst,49x,mental health,"Engages in applied behavior analysis, which is the design, implementation, and evaluation of instructional and environmental modifications to assist students in developing new behaviors, or increase or decrease existing behaviors.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
51,Extracurricular (Base Contract),51x,extracurricular,"Assignment involving the guidance or supervision of a school-sponsored activity designed to provide opportunities for students participation in school and public events. Includes class advisor, club or activity advisor, coach, community recreation, intramural athletics, student activity coordinator, etc.  Note   Use duty code 510 only for extracurricular assignments that are part of a certificated base contract duty assignment. Do not use duty code 511 or 512 for an individual who has no duty code 510 assignment.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
52,Substitute Teacher,52x,teacher,"Assignment as a temporary replacement for other teachers assigned duty codes 310, 320, 330, and 340. Instructs students in self-contained classes or courses in a classroom situation for which daily student attendance is kept or in ungraded classes, special education, gifted, disadvantaged, early childhood, home or hospital, and adult education.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
61,Certificated on Leave or Buy Back,NaN,teacher,"610 - An individual on paid certificated leave from the district other than normal vacation leave or normal paid sick leave. Includes union representatives.
611 - Payments to an individual for certificated sick leave buy back or certificated vacation buy out. Does not include normal vacation leave or normal paid sick leave.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
63,Contractor Teacher,630,teacher,"Employees of a contractor, who, if they had been employees of the district, would have been reported in a basic education or special education program assignment with a duty code 310, 320, 330, or 340. Refer to WAC 392-121- 188 for rules governing instruction provided by a contractor.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
64,Contractor Educational Staff Associate,640,teacher,"Employees of a contractor, who, if they had been employees of the district, would have been reported in a basic education or special education program assignment with a duty code 390, 400, 410, 420, 430, 440, 450, 460, 470, 480, or 490. Refer to WAC 392-121-188 for rules governing instruction provided by a contractor.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
90,Classified on Leave or Buy Back,NaN,teacher,"900 - An individual on paid classified leave from the district other than normal vacation leave or normal paid sick leave.
903 - Payments to an individual for classified sick leave buy back or classified vacation buy out. Does not include normal vacation leave or normal paid sick leave.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
91,Aide,91y,teacher,"Assists classroom teachers or staff members performing professional educational teaching assignments on a regularly scheduled basis. Includes paraeducators, teacher aides, classroom attendants, bus monitors, lunchroom aides, community service aides, etc.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
92,Crafts or Trades,92y,maintenance or custodial,"Performs jobs which require special manual skill and a thorough and comprehensive knowledge of processes involved in work which requires apprenticeship or other formal training programs. Includes carpenters, electricians, painters, glaziers, plumbers, general maintenance, masons, mechanics, plasterers, etc.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
93,Laborer,93y,maintenance or custodial,"Performs manual labor and generally requires no special training. Includes manual activities such as lifting, digging, mixing, pulling, etc.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
94,Office or Clerical,94y,administrator,"Performs clerical-type work such as preparing, transcribing, systematizing, or filing written communications and reports and operates such equipment as bookkeeping machines, typewriters, and tabulation machines. Includes secretaries, bookkeepers, messengers, clerks, typists, etc.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
95,Operator,95y,maintenance or custodial,"Performs assignments requiring an intermediate skill level necessary to carry out machine-operating activities. Includes bus drivers, vehicle operators, dispatchers, etc.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
96,Professional,96y,professional,"Requires a high degree of knowledge and skills acquired through at least a baccalaureate degree or its equivalent. Includes accountants, architects, attorneys, auditors, dietitians, engineers, statisticians, negotiators, etc. Also includes coaches in positions that do not require certification.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
97,Service Worker,97y,maintenance or custodial,"Performs a service for which there are no formal qualifications, including paraprofessionals and nonsupervisory personnel. Includes custodians, food service workers, security personnel, warehouse workers, delivery persons, etc.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
98,Technical,98y,technical,"Requires a combination of knowledge and skill which can be obtained through about two years of post-high school education such as from a vocational-technical institute or junior college or on-the-job training. Includes computer operators, purchasing agents, computer programmers, print shop technicians, graphic arts technicians, etc.",9998-9999,9998-9999-spsbtn.xlsx,duty_root
