program f196,activity,duty name,Head Department,Sub Department 1,Department,COUNTUNIQUE of grouping - head-top,COUNTUNIQUE of grouping - head-only,COUNTUNIQUE of grouping - all,,,
Districtwide Support,Board of Directors,Director or Supervisor,Internal Audit & Ethics,Internal Audit & Ethics,Internal Audit & Ethics,1,1,1,0,0,0
Districtwide Support,Board of Directors,Director or Supervisor,Public Affairs,Board Relations Strategic Initiatives & Policy,Board Relations Strategic Initiatives & Policy,1,1,1,0,0,0
Districtwide Support,Board of Directors,Professional,Superintendent,Superintendent,Superintendent,1,1,1,0,0,0
Districtwide Support,Building and Property Security,Director or Supervisor,Well Resourced Schools,School Security,School Operations,1,1,1,,,
Districtwide Support,Building and Property Security,Service Worker,Well Resourced Schools,School Security,School Operations,1,1,1,,,
Districtwide Support,Business Office,Director or Supervisor,General Counsel,Risk Management,Risk Management,1,1,1,,,
Districtwide Support,Business Office,Director or Supervisor,Operations,Purchasing,Finance,1,1,1,0,0,0
Districtwide Support,Business Office,Director or Supervisor,Operations,Payroll,Finance,1,1,1,0,0,0
Districtwide Support,Business Office,Director or Supervisor,Operations,Finance,Finance,1,1,1,0,0,0
Districtwide Support,Business Office,Director or Supervisor,Operations,Budget,Finance,1,1,1,,,
Districtwide Support,Business Office,Director or Supervisor,Operations,Accounting,Finance,1,1,1,,,
Districtwide Support,Business Office,Office or Clerical,Operations,Purchasing,Finance,1,1,1,,,
Districtwide Support,Business Office,Office or Clerical,Operations,Accounting,Finance,1,1,1,,,
Districtwide Support,Business Office,Professional,Operations,Purchasing,Finance,1,1,1,,,
Districtwide Support,Business Office,Professional,Operations,Payroll,Finance,1,1,1,,,
Districtwide Support,Business Office,Professional,Operations,Grants,Finance,1,1,1,,,
Districtwide Support,Business Office,Professional,Operations,Budget,Finance,1,1,1,,,
Districtwide Support,Business Office,Professional,Operations,Accounting,Finance,1,1,1,,,
Districtwide Support,Business Office,Technical,Operations,Payroll,Finance,1,1,1,,,
Districtwide Support,Grounds Maintenance,Service Worker,Operations,Grounds/Sports Complexes,Facilities Operations,1,1,1,,,
Districtwide Support,Human Resources,Director or Supervisor,HR,HR Operations,HR,1,1,1,,,
Districtwide Support,Human Resources,Director or Supervisor,HR,HR,HR,1,1,1,,,
Districtwide Support,Human Resources,Director or Supervisor,HR,Employee Labor Relations,HR,1,1,1,,,
Districtwide Support,Human Resources,Office or Clerical,HR,HR,HR,1,1,1,,,
Districtwide Support,Human Resources,Professional,HR,HR Operations,HR,1,1,1,,,
Districtwide Support,Human Resources,Professional,HR,HR,HR,1,1,1,,,
Districtwide Support,Human Resources,Professional,HR,Employee Labor Relations,HR,1,1,1,,,
Districtwide Support,Informational Systems,Director or Supervisor,Operations,Technology Support,Technology,1,1,1,,,
Districtwide Support,Informational Systems,Director or Supervisor,Operations,Technology,Technology,1,1,1,,,
Districtwide Support,Informational Systems,Director or Supervisor,Operations,Systems Engineer,Technology,1,1,1,,,
Districtwide Support,Informational Systems,Director or Supervisor,Operations,Information Systems & BI,Technology,1,1,1,,,
Districtwide Support,Informational Systems,Office or Clerical,Operations,Technology,Technology,1,1,1,,,
Districtwide Support,Informational Systems,Professional,Operations,Technology Support,Technology,1,1,1,,,
Districtwide Support,Informational Systems,Professional,Operations,Systems Operations,Technology,1,1,1,,,
Districtwide Support,Informational Systems,Professional,Operations,Network Operations,Technology,1,1,1,,,
Districtwide Support,Informational Systems,Professional,Operations,Information Systems & BI,Technology,1,1,1,,,
Districtwide Support,Informational Systems,Technical,Operations,Technology Support,Technology,1,1,1,,,
Districtwide Support,Maintenance,Crafts or Trades,Operations,Maintenance,Facilities Operations,1,1,1,,,
Districtwide Support,Maintenance,Crafts or Trades,Operations,Facilities Operations Administrative,Facilities Operations,1,1,1,,,
Districtwide Support,Maintenance,Professional,Operations,Self-Help,Facilities Operations,1,1,1,,,
Districtwide Support,Maintenance,Professional,Operations,Maintenance,Facilities Operations,1,1,1,,,
Districtwide Support,Maintenance,Professional,Operations,Facilities Operations Administrative,Facilities Operations,1,1,1,,,
Districtwide Support,Maintenance,Service Worker,Operations,Self-Help,Facilities Operations,1,1,1,,,
Districtwide Support,Maintenance,Technical,Operations,Facilities Operations Administrative,Facilities Operations,1,1,1,,,
