program_code,program,sps_program_grouping,raw_sps_program_grouping,per_pupil_program
1,Basic Education,Regular Instruction,Regular Instruction,Basic Education
2,Basic Education - Alternative learning Experience,Regular Instruction,Regular Instruction,Alternative Learning Experience
3,Basic Education - Dropout Reengagement,Regular Instruction,Regular Instruction,Basic Education - Dropout Reengagement
11,Special Purpose - SLFRF Enrollment Stabilization,Covid - SLRF / GEER,NaN,Special Purpose - SLFRF Enrollment Stabilization
12,Special Purpose - ESSER II,Covid - ESSER,NaN,"Federal Stimulus, ESSER II"
13,Special Purpose - ESSER III,Covid - ESSER,NaN,"Federal Stimulus, ESSER III"
14,Special Purpose - ESSER III - Learning Loss,Covid - ESSER,NaN,"Federal Stimulus, ESSER III (Learning Loss)"
18,Special Purpose - Reserved,Special Purpose - Reserved,NaN,Special Purpose - Reserved
19,Special Purpose - CARES Act Other,Covid - CARES,NaN,Federal Special Purpose - Other
21,Special Education - Supplemental - State,Special Education Instruction,Special Education Instruction,"Special Education, Supplemental, State"
22,Special Education - Infants and Toddlers - State,Special Education Instruction (non-sps),NaN,Special Education - Infants and Toddlers - State
23,Special Edication - ARP - IDEA - Federal,Special Education Instruction,Special Education Instruction,"Special Education - Supplemental, IDEA, Federal"
24,Special Education - Supplemental - Federal,Special Education Instruction,Special Education Instruction,"Special Education, Supplemental, Federal"
25,Special Education - Infants and Toddlers - Federal,Special Education Instruction (non-sps),NaN,"Special Education - Infants and Toddlers, Federal"
26,Special Education - Institutions - State,Special Education Instruction (non-sps),NaN,"Special Education - Institutions, State"
29,Special Education - Other - Federal,Special Education Instruction (non-sps),NaN,"Special Education - Other, Federal"
31,Vocational - Basic - State,Vocational Education Instruction,Vocational Education Instruction,"Vocational, Basic, State"
34,Middle School Career and Technical Education - State,Vocational Education Instruction,Vocational Education Instruction,"Middle School Career and Technical Education, State"
38,Vocational - Federal,Vocational Education Instruction (non-sps),NaN,"Vocational, Federal"
39,Vocational - Other Categorical,Vocational Education Instruction,Vocational Education Instruction,Vocational - Other Categorical
45,Skills Center - Basic - State,Skills Center Instruction,Skills Center Instruction,"Skill Center, Basic, State"
46,Skills Center - Federal,Skills Center Instruction,Skills Center Instruction,"Skill Center, Federal"
47,Skills Center - Facility Upgrades,Skills Center Instruction (non-sps),NaN,Skills Center - Facility Upgrades
51,ESEA Disadvantaged - Federal,Compensatory Education Instruction,Compensatory Education Instruction,"Disadvantaged (formerly Remediation) ESEA Disadvantaged, Federal"
52,Other Title Grants Under ESEA,#REF!,Compensatory Education Instruction,Other Title Grants Under ESEA - Federal
53,ESEA Migrant - Federal,Compensatory Education Instruction,Compensatory Education Instruction,"Migrant ESEA Migrant, Federal"
54,Reading First - Federal,Compensatory Education Instruction (non-sps),NaN,Reading First - Federal
