revenue_code,revenue,category_code,category,program_code
1100,Local Property Tax,1000,Local Taxes,0
1300,Sale of Tax Title Property,1000,Local Taxes,0
1400,Local in Lieu of Taxes,1000,Local Taxes,0
1500,Timber Excise Tax,1000,Local Taxes,0
1600,County-Administered Forests,1000,Local Taxes,0
1900,Other Local Taxes,1000,Local Taxes,0
2100,Tuition and Fees?Unassigned,2000,Local Non-tax,0
2101,All Day Kindergarten-Begin FY 03-04-Deletetd FY 04-05,2000,Local Non-tax,1
2122,Special Education?Infants and Toddlers?Tuition and Fees,2000,Local Non-tax,22
2131,Secondary Vocational Education?Tuition and Fees,2000,Local Non-tax,31
2145,Skill Center?Tuition and Fees,2000,Local Non-tax,45
2171,Traffic Safety?Education Fees,2000,Local Non-tax,71
2173,Summer School?Tuition and Fees,2000,Local Non-tax,73
2183,Adult Education Tuitions and Fees-Deleted FY 03-04,2000,Local Non-tax,83
2186,Community School?Tuition and Fees,2000,Local Non-tax,86
2188,Child Care?Tuition and Fees,2000,Local Non-tax,88
2200,"""Sales of Goods, Supplies, and Services?Unassigned""",2000,Local Non-tax,0
2231,"""Secondary Vocational Education?Sales of Goods, Supplies, and Services""",2000,Local Non-tax,31
2241,"Skills Center Proj., Sales of Goods-Deleted FY00",2000,Local Non-tax,41
2245,"""Skill Center?Sales of Goods, Supplies, and Services""",2000,Local Non-tax,45
2288,"""Child Care?Sales of Goods, Supplies, and Services""",2000,Local Non-tax,88
2289,"""Other Community Services?Sales of Goods, Supplies, and Services""",2000,Local Non-tax,89
2298,"""School Food Services?Sales of Goods, Supplies, and Services""",2000,Local Non-tax,98
2299,School Bus Revenue,2000,Local Non-tax,99
2300,Investment Earnings,2000,Local Non-tax,0
2400,Interfund Loan Interest Earnings,2000,Local Non-tax,0
2450,Other Interest Earnings,2000,Local Non-tax,50
2500,"""Gifts, Grants, and Donations (Local)""",2000,Local Non-tax,0
2600,Fines and Damages,2000,Local Non-tax,0
2700,Rentals and Leases,2000,Local Non-tax,0
2800,Insurance Recoveries,2000,Local Non-tax,0
2900,Local Support Non-Tax?Unassigned,2000,Local Non-tax,0
2910,E-Rate,2000,Local Non-tax,10
2998,Local School Food Services?non NSLP,2000,Local Non-tax,98
3100,Apportionment,3000,State-General Purpose,0
3121,Special Education?General Apportionment,3000,State-General Purpose,21
3300,Local Effort Assistance,3000,State-General Purpose,0
3600,State Forests,3000,State-General Purpose,0
3700,Timber Excise Tax-Renumbered 1500 FY 99-00,3000,State-General Purpose,0
3900,Other State General Purpose?Unassigned,3000,State-General Purpose,0
4100,Special Purpose?Unassigned,4000,State-Special Purpose,0
4121,Special Education,4000,State-Special Purpose,21
4122,Special Education?Infants and Toddlers?State,4000,State-Special Purpose,22
4126,State Institutions?Special Education,4000,State-Special Purpose,26
4130,State Funding Assistance?Paid Direct to District,4000,State-Special Purpose,30
4134,Middle School Career and Technical Education - added FY 07-08 F-196,4000,State-Special Purpose,34
4139,Career Launch,4000,State-Special Purpose,39
4154,Student Retention and Retrieval-Deleted FY99-00,4000,State-Special Purpose,54
4155,Learning Assistance,4000,State-Special Purpose,55
4156,"""State Institutions, Centers, and Homes?Delinquent""",4000,State-Special Purpose,56
4158,Special and Pilot Programs,4000,State-Special Purpose,58
4159,Institutions?Juveniles in Adult Jails,4000,State-Special Purpose,59
4162,"Better Schools-Staff, State-Deleted FY 02-03",4000,State-Special Purpose,62
4163,"Promoting Academic Success Added FY 05-06 F-196 (formerly Better Schools-Prof. Dev.), State-Deleted FY 02-03",4000,State-Special Purpose,63
4165,Transitional Bilingual,4000,State-Special Purpose,65
4166,Student Achievement - Added FY 01-02 - Deleted FY 13-14,4000,State-Special Purpose,66
4171,Traffic Safety Education?Inactive Account,4000,State-Special Purpose,71
4174,Highly Capable,4000,State-Special Purpose,74
4175,Professional Development-added FY 07-08 F-196 (Flexible Ed-Deleted FY 03-04-FY 02-03 (formerly Local Education Prgm Enhancmt),4000,State-Special Purpose,75
4183,Adult Education-Deleted FY99-00,4000,State-Special Purpose,83
4188,Child Care,4000,State-Special Purpose,88
4198,School Food Services,4000,State-Special Purpose,98
4199,Transportation?Operations,4000,State-Special Purpose,99
4230,State Funding Assistance?Paid Direct to Contractor,4000,State-Special Purpose,30
4300,Other State Agencies?Unassigned,4000,State-Special Purpose,0
4321,Special Education,4000,State-Special Purpose,21
4322,Special Education?Infants and Toddlers?State,4000,State-Special Purpose,22
4326,State Institutions?Special Education,4000,State-Special Purpose,26
4330,State Funding Assistance?Other,4000,State-Special Purpose,30
4356,State Institutions?Centers and Homes,4000,State-Special Purpose,56
4358,Special and Pilot Programs,4000,State-Special Purpose,58
4365,Transitional Bilingual,4000,State-Special Purpose,65
4388,Child Care?Other State Agencies,4000,State-Special Purpose,88
4398,School Food Services,4000,State-Special Purpose,98
4399,Transportation?Operations,4000,State-Special Purpose,99
4499,Transportation?Depreciation,4000,State-Special Purpose,99
5200,General Purpose Direct Federal Grants?Unassigned,5000,Federal-General Purpose,0
5300,Impact Aid?Maintenance and Operations,5000,Federal-General Purpose,0
5329,Impact Aid?Special Education Funding,5000,Federal-General Purpose,29
5400,Federal in Lieu of Taxes,5000,Federal-General Purpose,0
5500,Federal Forests,5000,Federal-General Purpose,0
5600,Qualified Bond Interest Credit?Federal,5000,Federal-General Purpose,0
6100,Special Purpose?OSPI Unassigned,6000,Federal-Special Purpose,0
6111,Special Purpose?GEER,6000,Federal-Special Purpose,11
