school_code,school,is_district_office,school_and_district
2376,Mason,f,Mason - Tacoma
2543,Roy Elementary,f,Roy Elementary - Bethel
2871,Edison,f,Edison - Tacoma
2938,Sherman,f,Sherman - Tacoma
3646,Boze,f,Boze - Tacoma
5708,Ocosta ALE,f,Ocosta ALE - Ocosta
2336,Lyon,f,Lyon - Tacoma
2746,Geiger,f,Geiger - Tacoma
1000,District Office,t,District Office -  Spokane Public Schools
1001,District Office,t,District Office -  Edmonds School District 015
1002,District Office,t,District Office -  Seattle School District 001
1003,District Office,t,District Office -  Highline School District 401
1004,District Office,t,District Office -  Bellevue School District 405
1005,District Office,t,District Office -  Tacoma School District 010
1006,District Office,t,District Office -  Yakima School District 007
1007,District Office,t,District Office -  Everett School District 002
1008,District Office,t,District Office -  Federal Way School District 210
1009,District Office,t,District Office -  Renton School District 403
1010,District Office,t,District Office -  Shoreline School District 412
1011,District Office,t,District Office -  Lake Washington School District 414
1012,District Office,t,District Office -  Kent School District 415
1013,District Office,t,District Office -  Clover Park School District 400
1014,District Office,t,District Office -  Vancouver School District 037
1015,District Office,t,District Office -  Central Valley School District 356
1016,District Office,t,District Office -  Walla Walla School District 140
1017,District Office,t,District Office -  Kennewick School District 017
1018,District Office,t,District Office -  Richland School District 400
1019,District Office,t,District Office -  Pasco School District 001
1020,District Office,t,District Office -  Moses Lake School District 161
1021,District Office,t,District Office -  Wenatchee School District 246
1022,District Office,t,District Office -  Bellingham School District 501
1023,District Office,t,District Office -  Marysville School District 025
1024,District Office,t,District Office -  Mercer Island School District 400
1025,District Office,t,District Office -  Auburn School District 408
1026,District Office,t,District Office -  Issaquah School District 411
1027,District Office,t,District Office -  Northshore School District 417
1028,District Office,t,District Office -  Puyallup School District 003
1029,District Office,t,District Office -  Franklin Pierce School District 402
1030,District Office,t,District Office -  Evergreen School District 114
1031,District Office,t,District Office -  Longview School District 122
1032,District Office,t,District Office -  Kelso School District 458
1033,District Office,t,District Office -  Aberdeen School District 005
1034,District Office,t,District Office -  North Thurston Public Schools
1035,District Office,t,District Office -  Olympia School District 111
1036,District Office,t,District Office -  Port Angeles School District 121
1756,CLIP,f,CLIP - Riverview
1037,District Office,t,District Office -  Bremerton School District 100
1038,District Office,t,District Office -  South Kitsap School District 402
1039,District Office,t,District Office -  Mead School District 354
1040,District Office,t,District Office -  Cheney School District 360
1041,District Office,t,District Office -  West Valley School District 363
1042,District Office,t,District Office -  Pullman School District 267
1043,District Office,t,District Office -  Clarkston School District 250
1044,District Office,t,District Office -  Othello School District 147
1045,District Office,t,District Office -  Ellensburg School District 401
1046,District Office,t,District Office -  Sunnyside School District 201
1047,District Office,t,District Office -  Toppenish School District 202
1048,District Office,t,District Office -  Wapato School District 207
1049,District Office,t,District Office -  West Valley School District 208
1050,District Office,t,District Office -  Eastmont School District 206
1051,District Office,t,District Office -  Oak Harbor School District 201
1052,District Office -  Burlington,t,District Office -  Burlington-Edison School District 100
1053,District Office -  Sedro,t,District Office -  Sedro-Woolley School District 101
1054,District Office,t,District Office -  Anacortes School District 103
1055,District Office,t,District Office -  Mount Vernon School District 320
1056,District Office,t,District Office -  Mukilteo School District 006
1057,District Office,t,District Office -  Snohomish School District 201
1058,District Office,t,District Office -  Tukwila School District 406
1059,District Office,t,District Office -  University Place School District 083
1060,District Office -  Sumner,t,District Office -  Sumner-Bonney Lake School District 320
1061,District Office,t,District Office -  Peninsula School District 401
1062,District Office,t,District Office -  Bethel School District 403
1063,District Office,t,District Office -  Battle Ground School District 119
1064,District Office,t,District Office -  Hoquiam School District 028
1065,District Office,t,District Office -  Chehalis School District 302
1066,District Office,t,District Office -  Centralia School District 401
1067,District Office,t,District Office -  North Kitsap School District 400
1068,District Office,t,District Office -  Central Kitsap School District 401
1069,District Office,t,District Office -  Medical Lake School District 326
1070,District Office,t,District Office -  East Valley School District 361
1071,District Office,t,District Office -  Selah School District 119
1072,District Office,t,District Office -  Grandview School District 200
1073,District Office,t,District Office -  Ferndale School District 502
1074,District Office,t,District Office -  Lake Stevens School District 004
1075,District Office,t,District Office -  Arlington School District 016
1076,District Office,t,District Office -  Monroe School District 103
1077,District Office,t,District Office -  Enumclaw School District 216
1078,District Office,t,District Office -  Tahoma School District 409
1079,District Office,t,District Office -  Snoqualmie Valley School District 410
1080,District Office,t,District Office -  Bainbridge Island School District 303
1081,District Office,t,District Office -  Fife School District 417
1082,District Office,t,District Office -  Camas School District 117
1083,District Office,t,District Office -  Shelton School District 309
1084,District Office,t,District Office -  Tumwater School District 033
1085,District Office,t,District Office -  Deer Park School District 414
1086,District Office,t,District Office -  Colville School District 115
1087,District Office,t,District Office -  Prosser School District 116
1088,District Office,t,District Office -  North Franklin School District 051
1089,District Office,t,District Office -  Quincy School District 144
1090,District Office,t,District Office -  Ephrata School District 165
1091,District Office,t,District Office -  Naches Valley School District 003
1092,District Office,t,District Office -  East Valley School District 090
1093,District Office,t,District Office -  Granger School District 204
1094,District Office,t,District Office -  Cashmere School District 222
1095,District Office,t,District Office -  Omak School District 019
1096,District Office,t,District Office -  Oroville School District 410
1097,District Office,t,District Office -  Blaine School District 503
1098,District Office,t,District Office -  Lynden School District 504
1099,District Office,t,District Office -  Meridian School District 505
1100,District Office,t,District Office -  Nooksack Valley School District 506
1101,District Office,t,District Office -  Mount Baker School District 507
1102,District Office,t,District Office -  Sultan School District 311
1103,District Office -  Stanwood,t,District Office -  Stanwood-Camano School District 401
1104,District Office,t,District Office -  Vashon Island School District 402
1106,District Office,t,District Office -  Eatonville School District 404
1107,District Office,t,District Office -  White River School District 416
1108,District Office -  Washougal School District 112,t,District Office -  Washougal School District 112-6
1109,District Office,t,District Office -  Ridgefield School District 122
1110,District Office,t,District Office -  Castle Rock School District 401
1111,District Office,t,District Office -  Woodland School District 404
1112,District Office,t,District Office -  White Salmon School District 405
1113,District Office,t,District Office -  Montesano School District 066
1114,District Office,t,District Office -  Elma School District 068
1115,District Office,t,District Office -  Raymond School District 116
1116,District Office,t,District Office -  Yelm School District 002
1117,District Office,t,District Office -  Sequim School District 323
1118,District Office,t,District Office -  Quillayute School District 402
1119,District Office,t,District Office -  Port Townsend School District 050
1120,District Office -  Newport School District 056,t,District Office -  Newport School District 056-415
1121,District Office,t,District Office -  Riverside School District 416
1122,District Office,t,District Office -  Chewelah School District 036
1123,District Office,t,District Office -  Colfax School District 300
1124,District Office,t,District Office -  Dayton School District 002
1125,District Office,t,District Office -  Pomeroy School District 110
1126,District Office -  Kiona,t,District Office -  Kiona-Benton City School District 052
1127,District Office,t,District Office -  Royal School District 160
1128,District Office -  Cle Elum,t,District Office -  Cle Elum-Roslyn School District 404
1129,District Office,t,District Office -  Goldendale School District 404
1130,District Office,t,District Office -  Highland School District 203
1131,District Office,t,District Office -  Mount Adams School District 209
1132,District Office,t,District Office -  Cascade School District 228
1133,District Office,t,District Office -  Lake Chelan School District 129
1134,District Office,t,District Office -  Okanogan School District 105
1136,District Office,t,District Office -  Tonasket School District 404
1137,District Office,t,District Office -  South Whidbey School District 206
1138,District Office,t,District Office -  Riverview School District 407
1139,District Office,t,District Office -  Orting School District 344
1140,District Office,t,District Office -  Kalama School District 402
1141,District Office,t,District Office -  Ocean Beach School District 101
1142,District Office -  Stevenson,t,District Office -  Stevenson-Carson School District 303
1143,District Office,t,District Office -  Ocosta School District 172
1144,District Office,t,District Office -  Winlock School District 232
