school_code,ccddd,school,is_district_office
2376,27010,Mason,f
2543,27403,Roy Elementary,f
2871,27010,Edison,f
2938,27010,Sherman,f
3646,27010,Boze,f
5708,14172,Ocosta ALE,f
2336,27010,Lyon,f
2746,27010,Geiger,f
1000,32081,District Office,t
1001,31015,District Office,t
1002,17001,District Office,t
1003,17401,District Office,t
1004,17405,District Office,t
1005,27010,District Office,t
1006,39007,District Office,t
1007,31002,District Office,t
1008,17210,District Office,t
1009,17403,District Office,t
1010,17412,District Office,t
1011,17414,District Office,t
1012,17415,District Office,t
1013,27400,District Office,t
1014,6037,District Office,t
1015,32356,District Office,t
1016,36140,District Office,t
1017,3017,District Office,t
1018,3400,District Office,t
1019,11001,District Office,t
1020,13161,District Office,t
1021,4246,District Office,t
1022,37501,District Office,t
1023,31025,District Office,t
1024,17400,District Office,t
1025,17408,District Office,t
1026,17411,District Office,t
1027,17417,District Office,t
1028,27003,District Office,t
1029,27402,District Office,t
1030,6114,District Office,t
1031,8122,District Office,t
1032,8458,District Office,t
1033,14005,District Office,t
1034,34003,District Office,t
1035,34111,District Office,t
1036,5121,District Office,t
1756,17407,CLIP,f
1037,18100,District Office,t
1038,18402,District Office,t
1039,32354,District Office,t
1040,32360,District Office,t
1041,32363,District Office,t
1042,38267,District Office,t
1043,2250,District Office,t
1044,1147,District Office,t
1045,19401,District Office,t
1046,39201,District Office,t
1047,39202,District Office,t
1048,39207,District Office,t
1049,39208,District Office,t
1050,9206,District Office,t
1051,15201,District Office,t
1052,29100,District Office -  Burlington,t
1053,29101,District Office -  Sedro,t
1054,29103,District Office,t
1055,29320,District Office,t
1056,31006,District Office,t
1057,31201,District Office,t
1058,17406,District Office,t
1059,27083,District Office,t
1060,27320,District Office -  Sumner,t
1061,27401,District Office,t
1062,27403,District Office,t
1063,6119,District Office,t
1064,14028,District Office,t
1065,21302,District Office,t
1066,21401,District Office,t
1067,18400,District Office,t
1068,18401,District Office,t
1069,32326,District Office,t
1070,32361,District Office,t
1071,39119,District Office,t
1072,39200,District Office,t
1073,37502,District Office,t
1074,31004,District Office,t
1075,31016,District Office,t
1076,31103,District Office,t
1077,17216,District Office,t
1078,17409,District Office,t
1079,17410,District Office,t
1080,18303,District Office,t
1081,27417,District Office,t
1082,6117,District Office,t
1083,23309,District Office,t
1084,34033,District Office,t
1085,32414,District Office,t
1086,33115,District Office,t
1087,3116,District Office,t
1088,11051,District Office,t
1089,13144,District Office,t
1090,13165,District Office,t
