ccddd,school_code,school_and_district,type,is_regular,region,ms_assignment_code,ms_assignment
17001,1002,District Office -  Seattle School District 001,Invalid,1,Invalid,0,unknown
17001,1547,Middle College High School,Other,0,Other,5485,Meany Middle School
17001,1579,Tops k8 School,K-8,0,Central,5485,Meany Middle School
17001,1596,Seattle World School,Other,0,Other,5485,Meany Middle School
17001,1620,Pathfinder k8 School,K-8,0,SW,2435,Madison Middle School
17001,1635,Interagency Programs,Other,0,Other,0,unknown
17001,1751,Cascade Parent Partnership Program,Other,0,Other,0,unknown
17001,1796,Salmon Bay k8 School,K-8,0,NW,3277,Whitman Middle School
17001,1856,The Center School,Highschool,0,Central,3517,McClure Middle School
17001,2061,Green Lake Elementary School,Elementary,1,NE,2729,Eckstein Middle School
17001,2063,John Hay Elementary School,Elementary,1,Central,3517,McClure Middle School
17001,2069,Madrona K-5 School,Elementary,1,Central,5485,Meany Middle School
17001,2070,Beacon Hill International School,Elementary,1,SE,3095,Mercer International Middle School
17001,2080,Stevens Elementary School,Elementary,1,Central,5485,Meany Middle School
17001,2081,John Stanford International School,Elementary,0,NW,2371,Hamilton International Middle School
17001,2089,Martin Luther King Jr. Elementary School,Elementary,1,SE,3774,Aki Kurose Middle School
17001,2090,Frantz Coe Elementary School,Elementary,1,Central,3517,McClure Middle School
17001,2092,Whittier Elementary School,Elementary,1,NW,3277,Whitman Middle School
17001,2118,Emerson Elementary School,Elementary,1,SE,3774,Aki Kurose Middle School
17001,2120,Rising Star Elementary School,Elementary,1,SE,3095,Mercer International Middle School
17001,2121,Leschi Elementary School,Elementary,1,Central,5485,Meany Middle School
17001,2123,Greenwood Elementary School,Elementary,1,NW,5486,Robert Eagle Staff Middle School
17001,2138,Adams Elementary School,Elementary,1,NW,3277,Whitman Middle School
17001,2139,Gatewood Elementary School,Elementary,1,SW,2435,Madison Middle School
17001,2141,Thurgood Marshall Elementary,Elementary,1,Central,4064,Washington Middle School
17001,2142,West Woodland Elementary School,Elementary,1,NW,2371,Hamilton International Middle School
17001,2143,John Muir Elementary School,Elementary,1,Central,4064,Washington Middle School
17001,2181,Alki Elementary School,Elementary,1,SW,2435,Madison Middle School
17001,2182,Franklin High School,Highschool,1,SE,4064,Washington Middle School
17001,2183,Lawton Elementary School,Elementary,1,Central,3517,McClure Middle School
17001,2199,Concord International School,Elementary,1,SW,2839,David T. Denny International Middle School
17001,2201,McGilvra Elementary School,Elementary,1,Central,5485,Meany Middle School
17001,2209,Broadview-Thomson k8 School,K-8,1,NW,5486,Robert Eagle Staff Middle School
17001,2220,Ballard High School,Highschool,1,NW,3277,Whitman Middle School
17001,2234,West Seattle High School,Highschool,1,SW,2435,Madison Middle School
17001,2256,Olympic View Elementary School,Elementary,1,NE,5351,Jane Addams Middle School
17001,2269,Highland Park Elementary School,Elementary,1,SW,2839,David T. Denny International Middle School
17001,2285,Roosevelt High School,Highschool,1,NE,2729,Eckstein Middle School
17001,2306,Garfield High School,Highschool,1,Central,5485,Meany Middle School
17001,2307,Bailey Gatzert Elementary School,Elementary,1,Central,4064,Washington Middle School
17001,2321,Dunlap Elementary School,Elementary,1,SE,3774,Aki Kurose Middle School
17001,2322,Montlake Elementary School,Elementary,1,Central,5485,Meany Middle School
17001,2353,Maple Elementary School,Elementary,1,SE,3095,Mercer International Middle School
17001,2371,Hamilton International Middle School,Middle,1,NW,2371,Hamilton International Middle School
17001,2372,Bryant Elementary School,Elementary,1,NE,2729,Eckstein Middle School
17001,2392,Cleveland High School STEM,Highschool,1,SE,3095,Mercer International Middle School
17001,2435,Madison Middle School,Middle,1,SW,2435,Madison Middle School
17001,2437,Laurelhurst Elementary School,Elementary,1,NE,2729,Eckstein Middle School
17001,2450,Daniel Bagley Elementary School,Elementary,1,NW,5486,Robert Eagle Staff Middle School
17001,2462,Loyal Heights Elementary School,Elementary,1,NW,3277,Whitman Middle School
17001,2645,West Seattle Elementary School,Elementary,1,SW,2839,David T. Denny International Middle School
17001,2667,View Ridge Elementary School,Elementary,1,NE,2729,Eckstein Middle School
17001,2729,Eckstein Middle School,Middle,1,NE,2729,Eckstein Middle School
17001,2730,Arbor Heights Elementary School,Elementary,1,SW,2839,David T. Denny International Middle School
17001,2733,Lafayette Elementary School,Elementary,1,SW,2435,Madison Middle School
17001,2838,Catharine Blaine k8 School,K-8,1,Central,3517,McClure Middle School
17001,2839,David T. Denny International Middle School,Middle,1,SW,2839,David T. Denny International Middle School
17001,2975,John Rogers Elementary School,Elementary,1,NE,5351,Jane Addams Middle School
17001,2976,Olympic Hills Elementary School,Elementary,1,NE,5351,Jane Addams Middle School
17001,2977,Viewlands Elementary School,Elementary,1,NW,3277,Whitman Middle School
17001,3026,Wedgwood Elementary School,Elementary,1,NE,2729,Eckstein Middle School
17001,3027,James Baldwin Elementary,Elementary,1,NW,5486,Robert Eagle Staff Middle School
17001,3028,Sacajawea Elementary School,Elementary,1,NE,5351,Jane Addams Middle School
17001,3095,Mercer International Middle School,Middle,1,SE,3095,Mercer International Middle School
17001,3096,Chief Sealth International High School,Highschool,1,SW,2839,David T. Denny International Middle School
17001,3157,Roxhill Elementary School,Elementary,1,SW,2839,David T. Denny International Middle School
