old_name,new_name,note
,(dropped),"pandas row index, never meaningful"
class_of,class_of,
school_name,school_name,
type,type,
is_regular,is_regular,
school_code,school_code,
region,region,
school,(dropped),duplicate school name (d_school); use school_name
ms_assignment_code,ms_assignment_code,
ms_assignment,ms_assignment,
total_spend,spend_total,
total_spend_gen_ed,spend_gen_ed_total,
total_spend_spec_ed,spend_spec_ed_total,
total_spend_compensatory,spend_compensatory_total,
total_spend_lap,spend_lap_total,
total_spend_title1,spend_title1_total,
total_spend_ble,spend_ble_total,
total_spend_instr_other,spend_instr_other_total,
total_spend_district_support,spend_district_support_total,
total_spend_other,spend_other_total,
total_spend_voc,spend_voc_total,
spend_per_pupil,spend_per_pupil,
spend_gen_ed_per_pupil,spend_gen_ed_per_pupil,
spend_spec_ed_per_pupil,spend_spec_ed_per_pupil,
spend_compensatory_per_pupil,spend_compensatory_per_pupil,
spend_lap_per_pupil,spend_lap_per_pupil,
spend_title1_per_pupil,spend_title1_per_pupil,
spend_ble_per_pupil,spend_ble_per_pupil,
spend_instr_other_per_pupil,spend_instr_other_per_pupil,
spend_district_support_per_pupil,spend_district_support_per_pupil,
spend_other_per_pupil,spend_other_per_pupil,
spend_voc_per_pupil,spend_voc_per_pupil,
fte_per_pupil,staff_all_fte_per_pupil,
grade,(dropped),constant 'All Grades' by construction
school_year,school_year,
all_students,enroll_total,
military_parent,enroll_military_parent,
migrant,enroll_migrant,
low_income,enroll_low_income,
homeless,enroll_homeless,
foster_care,enroll_foster_care,
mobile,enroll_mobile,
section_504,enroll_section_504,
highly_capable,enroll_highly_capable,
english_language_learners,enroll_english_language_learners,
students_with_disabilities,enroll_students_with_disabilities,
female,enroll_female,
male,enroll_male,
gender_x,enroll_gender_x,
white,enroll_white,
black_african_american,enroll_black_african_american,
native_hawaiian_other_pacific,enroll_native_hawaiian_other_pacific,
hispanic_latino_of_any_race,enroll_hispanic_latino_of_any_race,
american_indian_alaskan_native,enroll_american_indian_alaskan_native,
asian,enroll_asian,
two_or_more_races,enroll_two_or_more_races,
pct_military_parent,enroll_pct_military_parent,
pct_migrant,enroll_pct_migrant,
pct_low_income,enroll_pct_low_income,
pct_homeless,enroll_pct_homeless,
pct_foster_care,enroll_pct_foster_care,
pct_mobile,enroll_pct_mobile,
pct_section_504,enroll_pct_section_504,
